status,cond,pair_id,subject,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
S,treatment,63,female,-3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-12.422,2.0,0.0,31.919999999999987,142.887
S,treatment,63,male,-8.0,0.0,-15.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.455,-7.0,0.0,31.919999999999987,151.92
S,treatment,65,female,-22.0,0.0,-10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-28.995,-4.0,0.0,24.956999999999994,26.596
S,treatment,65,male,-24.0,-11.0,-9.0,-1.0,1.0,2.0,0.0,0.0,1.0,0.0,-165.377,0.0,0.0,24.956999999999994,144.957
S,treatment,72,female,30.0,-11.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-9.596,2.0,0.0,-64.57300000000001,36.541
S,treatment,72,male,-2.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.511,0.0,0.0,30.326000000000008,48.856
S,treatment,74,female,-21.0,1.0,-12.0,-1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,18.650000000000006,4.742000000000001
S,treatment,74,male,10.0,0.0,-6.0,0.0,-3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.650000000000006,10.411000000000001
S,treatment,75,female,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.023,-1.0,0.0,-33.819,42.025
S,treatment,75,male,-1.0,-1.0,-3.0,3.0,-14.0,-1.0,0.0,0.0,0.0,0.0,-24.529,0.0,0.0,-33.819,146.768
S,treatment,77,female,-1.0,-4.0,-8.0,-4.0,42.0,40.0,1.0,0.0,0.0,0.0,-36.199,0.0,0.0,10.354,22.11
S,treatment,77,male,-6.0,0.0,-3.0,-2.0,11.0,3.0,1.0,0.0,0.0,0.0,-69.55,0.0,0.0,4.4140000000000015,42.802
